idiom,lang,meaning
知者は惑わず、勇者は懼れず,jp,
知者は水を楽しみ、仁者は山を楽しむ,jp,
痴人の前に夢を説く,jp,
痴人夢を説く,jp,
血筋は争えない,jp,
馳走終わらば油断すな,jp,
父父たらずと雖も子は子たらざるべからず,jp,
父の恩は山よりも高く、母の恩は海よりも深し,jp,
帙を繙く,jp,
血で血を洗う,jp,
血と汗の結晶,jp,
血となり肉となる,jp,
治に居て乱を忘れず,jp,
血に飢える,jp,
地に落ちる,jp,
血の雨が降る,jp,
血の雨を降らす,jp,
血の通った,jp,
血の気が失せる,jp,
血の気が多い,jp,
血の気が引く,jp,
地の塩,jp,
血の出るよう,jp,
血の涙,jp,
血の滲むよう,jp,
血の巡りが悪い,jp,
地の利は人の和に如かず,jp,
地の利を得る,jp,
地の利を占める,jp,
血は争えない,jp,
知は力なり,jp,
血は水よりも濃い,jp,
血は水よりも濃し,jp,
地歩を占める,jp,
血祭りに上げる,jp,
血眼になる,jp,
血道を上げる,jp,
知命,jp,
血も涙もない,jp,
茶茶を入れる,jp,
茶々を入れる,jp,
茶にする,jp,
茶に酔うたふり,jp,
茶に酔うたよう,jp,
茶腹も一時,jp,
茶番,jp,
茶を濁す,jp,
茶を挽く,jp,
ちゃんちゃらおかしい,jp,
ちゃんちゃんばらばら,jp,
注意を引く,jp,
忠言、耳に逆らう,jp,
中原に鹿を逐う,jp,
忠言は耳に逆らう,jp,
仲裁は時の氏神,jp,
忠臣は二君に仕えず,jp,
忠臣は二君に事えず,jp,
柱石,jp,
忠ならんと欲すれば孝ならず、孝ならんと欲すれば忠ならず,jp,
宙に浮く,jp,
宙に舞う,jp,
宙に迷う,jp,
注目に値する,jp,
注目を浴びる,jp,
注文を付ける,jp,
昼夜を舎かず,jp,
昼夜を分かたず,jp,
中流に船を失えば一瓢も千金,jp,
宙を飛ぶ,jp,
寵愛こうじて尼にする,jp,
寵愛昂じて尼になす,jp,
長広舌を振るう,jp,
長広舌を揮う,jp,
調子が合う,jp,
調子がいい,jp,
調子が付く,jp,
調子に乗る,jp,
長袖よく舞い、多銭よく賈う,jp,
長所は短所,jp,
調子を合わせる,jp,
調子を下げる,jp,
調子を取る,jp,
長者富に飽かず,jp,
長者に二代なし,jp,
長者の万灯より貧者の一灯,jp,
帳尻が合う,jp,
帳尻を合わせる,jp,
手水を使う,jp,
長蛇の列,jp,
長蛇を逸す,jp,
長蛇を逸する,jp,
提灯で餅を搗く,jp,
提灯に釣り鐘,jp,
提灯持ち,jp,
提灯持ち川へはまる,jp,
提灯持ちは先に立て,jp,
提灯を持つ,jp,
町内で知らぬは亭主ばかりなり,jp,
長範が当て飲み,jp,
掉尾を飾る,jp,
帳面づらを合わせる,jp,
頂門の一針,jp,
長夜の飲,jp,
長夜の眠り,jp,
長夜の夢,jp,
蝶よ花よ,jp,
ちょっかいを出す,jp,
ちょっと来いに油断すな,jp,
ちょっとした,jp,
ちょっと嘗めたが身の詰まり,jp,
ちょっとやそっと,jp,
緒に就く,jp,
ちょんになる,jp,
塵に立つ,jp,
塵に継ぐ,jp,
塵に同ず,jp,
塵も積もれば山となる,jp,
塵を出ず,jp,
塵を絶つ,jp,
塵を望んで拝す,jp,
塵を捻る,jp,
塵を結んでも志,jp,
血湧き肉躍る,jp,
血を受ける,jp,
血を吐く思い,jp,
地を掃う,jp,
血を引く,jp,
血を見る,jp,
血を以て血を洗う,jp,
血を分ける,jp,
狆が嚏をしたよう,jp,
沈魚落雁、閉月羞花,jp,
枕席に侍る,jp,
ちんちんかもかも,jp,
朕は国家なり,jp,
沈黙は金、雄弁は銀,jp,
沈黙を破る,jp,
追従も世渡り,jp,
朔日ごとに餅は食えぬ,jp,
搗いた餅より心持ち,jp,
付いて回る,jp,
終の住処,jp,
つうかあ,jp,
つうと言えばかあ,jp,
痛棒を食らわす,jp,
痛痒を感じない,jp,
杖とも柱とも,jp,
杖とも柱とも頼む,jp,
杖に縋るとも人に縋るな,jp,
杖にも柱にも,jp,
杖の下に回る犬は打てぬ,jp,
杖を曳く,jp,
使う者は使われる,jp,
即かず離れず,jp,
付かず離れず,jp,
使っている鍬は光る,jp,
付かぬ事,jp,
摑み所がない,jp,
付き合いなら家でも焼く,jp,
搗き臼で茶漬け,jp,
月落ち烏啼いて霜天に満つ,jp,
付きが回る,jp,
月と鼈,jp,
月に雨笠日笠なし,jp,
月に叢雲、花に風,jp,
月の影取る猿,jp,
月の前の灯,jp,
月日変われば気も変わる,jp,
月日に関守なし,jp,
月満つれば則ち虧く,jp,
月雪花は一度に眺められぬ,jp,
月夜に釜を抜かれる,jp,
月夜に米の飯,jp,
月夜に背中あぶる,jp,
月夜に提灯,jp,
月夜に提灯も外聞,jp,
月夜にも背中炙りて温まれ,jp,
月夜に夜仕事,jp,
月夜に夜なべ,jp,
月夜の蟹,jp,
月を指せば指を認む,jp,
月を指させば指を認む,jp,
付けが回って来る,jp,
漬物褒めれば嬶褒める,jp,
付け焼き刃,jp,
付け焼き刃はなまり易い,jp,
辻褄が合う,jp,
辻褄を合わす,jp,
辻褄を合わせる,jp,
土一升金一升,jp,
土一升に金一升,jp,
土が付く,jp,
槌で大地を叩く,jp,
槌で庭掃く,jp,
土となる,jp,
土に灸,jp,
土になる,jp,
土仏の水遊び,jp,
土を踏む,jp,
突っかけ者の人もたれ,jp,
釣った魚に餌はやらぬ,jp,
美人局,jp,
鼓を鳴らして攻む,jp,
綱渡りより世渡り,jp,
綱渡りをする,jp,
綱を張る,jp,
常が大事,jp,
常に来る客は歓迎されず,jp,
角ある獣に上歯なし,jp,
角突き合わせる,jp,
角を折る,jp,
角を矯めて牛を殺す,jp,
角を出す,jp,
鍔迫り合いを演じる,jp,
唾を付ける,jp,
粒が揃う,jp,
潰しが効く,jp,
潰しが利く,jp,
壺にはまる,jp,
壷の中では火は燃えぬ,jp,
壺を心得る,jp,
躓く石も縁の端,jp,
妻の言うに向こう山も動く,jp,
つまり肴,jp,
詰まる所,jp,
罪が無い,jp,
罪なくして配所の月を見る,jp,
罪なことをする,jp,
罪の疑わしきは軽くし、功の疑わしきは重くす,jp,
罪を着せる,jp,
罪を憎んで人を憎まず,jp,
旋毛を曲げる,jp,
爪痕を残す,jp,
冷たい戦争,jp,
冷たくなる,jp,
爪で拾って箕でこぼす,jp,
爪で拾って箕で零す,jp,
爪に爪なく瓜に爪あり,jp,
爪に火を点す,jp,
爪の垢ほど,jp,
爪の垢を煎じて飲む,jp,
爪の先まで似る,jp,
詰め腹を切らされる,jp,
詰め腹を切らせる,jp,
爪を立てる所もない,jp,
爪を研ぐ,jp,
露の命,jp,
面から火が出る,jp,
面で人を切る,jp,
面の皮が厚い,jp,
面の皮千枚張り,jp,
面の皮の千枚張り,jp,
面の皮を剝ぐ,jp,
釣り合わぬは不縁のもと,jp,
釣り落とした魚は大きい,jp,
釣りする馬鹿に見る阿呆,jp,
釣りは道楽の行き止まり,jp,
鶴九皐に鳴き、声天に聞こゆ,jp,
剣の刃を渡る,jp,
吊るし上げを食う,jp,
弦なき弓に羽抜け鳥,jp,
鶴の脛も切るべからず,jp,
鶴の一声,jp,
鶴は千年、亀は万年,jp,
聾の早耳,jp,
手垢が付く,jp,
手垢の付いた,jp,
手足となる,jp,
手足を伸ばす,jp,
鄭家の奴は詩をうたう,jp,
庭訓,jp,
亭主関白の位,jp,
亭主三杯客一杯,jp,
亭主の好きな赤烏帽子,jp,
亭主の好きを客に出す,jp,
亭主は達者で留守が良い,jp,
亭主を尻に敷く,jp,
貞女は二夫に見えず,jp,
鼎沸,jp,
鼎立,jp,
手書きあれども文書きなし,jp,
手が上がる,jp,
手が空く,jp,
手が空けば口が開く,jp,
手が入れば足も入る,jp,
手が後ろに回る,jp,
手が掛かる,jp,
手が切れる,jp,
手が込む,jp,
手が付かない,jp,
手が付く,jp,
手が付けられない,jp,
手が出ない,jp,
手が届く,jp,
手が無い,jp,
手が長い,jp,
手が入る,jp,
手が離せない,jp,
手が離れる,jp,
手が早い,jp,
手が塞がる,jp,
手が回らない,jp,
手が回る,jp,
手が焼ける,jp,
適時の一針は九針の手間を省く,jp,
敵に塩を送る,jp,
敵に味方あり味方に敵あり,jp,
敵は本能寺にあり,jp,
敵もさる者,jp,
敵もさる者引っ搔くもの,jp,
敵を見て矢を矧ぐ,jp,
手癖が悪い,jp,
手薬煉引く,jp,
手薬煉を引く,jp,
手癖が悪い,jp,
梃子入れをする,jp,
梃入れをする,jp,
手功より目功,jp,
梃子でも動かない,jp,
梃子でも動かぬ,jp,
手心を加える,jp,
手塩に掛ける,jp,
手酌五合、髱一升,jp,
手酌貧乏,jp,
手千両,jp,
手出し十層倍,jp,
手玉に取る,jp,
鉄槌を下す,jp,
鉄桶水を漏らさず,jp,
轍鮒の急,jp,
鉄砲玉の使い,jp,
手付けを打つ,jp,
鉄のカーテン,jp,
鉄は熱いうちに打て,jp,
鉄面皮,jp,
轍を踏む,jp,
手蔓を求める,jp,
手でする事を足でする,jp,
手取り足取り,jp,
手なくして宝の山に入る,jp,
手鍋提げても,jp,
手に汗を握る,jp,
手に余る,jp,
手に入れる,jp,
手に負えない,jp,
手に落ちる,jp,
手に掛かる,jp,
手に掛ける,jp,
手に据えた鷹を逸らしたよう,jp,
手にする,jp,
手に付かない,jp,
手に唾する,jp,
手に唾す,jp,
手に唾する,jp,
手に手を取って,jp,
手に手を取る,jp,
手に取るよう,jp,
手に取るように,jp,
手に成る,jp,
手に乗る,jp,
手に入る,jp,
てにはが合わない,jp,
弖爾波が合わない,jp,
手に渡る,jp,
てにをはが合わない,jp,
弖爾乎波が合わない,jp,
手の内を見せる,jp,
手の裏を返す,jp,
手の切れるような,jp,
手のない将棋は負け将棋,jp,
手の平を返す,jp,
手の施しようがない,jp,
手の舞、足の踏む所を知らず,jp,
手の奴足の乗り物,jp,
手は一生の宝,jp,
手八丁口八丁,jp,
手前味噌で塩が辛い,jp,
手回しがいい,jp,
手も足も出ない,jp,
手もなく,jp,
寺から里へ,jp,
寺から出れば坊主,jp,
てらつつきの子は卵から頷く,jp,
寺の隣に鬼が棲む,jp,
手を上げる,jp,
手を合わせる,jp,
手を入れる,jp,
手を打つ,jp,
手を替え品を替え,jp,
手を変え品を変え,jp,
手を易え品を易え,jp,
手を返す,jp,
手を掛ける,jp,
手を貸す,jp,
手を借りる,jp,
手を切る,jp,
手を下す,jp,
手を組む,jp,
手を加える,jp,
手を拱く,jp,
手を拱く,jp,
手を差し伸べる,jp,
手を擦る,jp,
手を染める,jp,
手を出して火傷する,jp,
手を出す,jp,
手を束ねる,jp,
手を尽くす,jp,
手を付ける,jp,
手を着ける,jp,
手を繋ぐ,jp,
手を取る,jp,
手を握る,jp,
手を抜く,jp,
手を濡らさず,jp,
手を濡らさない,jp,
手を延ばす,jp,
手を伸ばす,jp,
手を離れる,jp,
手を引く,jp,
手を翻せば雲となり、手を覆せば雨となる,jp,
手を広げる,jp,
手を回す,jp,
手を結ぶ,jp,
手を焼く,jp,
手を休める,jp,
手を緩める,jp,
手を汚す,jp,
手を煩わす,jp,
手を煩わせる,jp,
天、二物を与えず,jp,
天下の憂いに先立ちて憂い、天下の楽しみに後れて楽しむ,jp,
天下は回り持ち,jp,
天下晴れて,jp,
天から降ったか地から湧いたか,jp,
天下分け目,jp,
天下分け目の戦い,jp,
天機洩らすべからず,jp,
天狗になる,jp,
天狗の飛び損ない,jp,
天勾践を空しゅうすること莫れ、時に范蠡なきにしも非ず,jp,
天才とは一パーセントの霊感と九十九パーセントの汗である,jp,
天災は忘れた頃にやってくる,jp,
天知る地知る我知る人知る,jp,
天寿を全うする,jp,
天井から目薬,jp,
天井知らず,jp,
天上天下唯我独尊,jp,
天井を打つ,jp,
天井を突く,jp,
点数を稼ぐ,jp,
転石苔を生せず,jp,
天高く馬肥ゆ,jp,
天高く馬肥ゆる秋,jp,
椽大の筆,jp,
天地、夏冬、雪と墨,jp,
天地は万物の逆旅,jp,
天地を動かし鬼神を感ぜしむ,jp,
点滴、石を穿つ,jp,
天道様と米の飯はどこへも付いて回る,jp,
天道様はお見通し,jp,
天道、是か非か,jp,
天道、人を殺さず,jp,
天にあらば比翼の鳥地にあらば連理の枝,jp,
天に口あり地に耳あり,jp,
天に口なし人を以て言わしむ,jp,
天に跼り地に蹐す,jp,
天に唾す,jp,
天に唾する,jp,
天に二日無し,jp,
天に二日無し、土に二王無し,jp,
天に二つの日無し,jp,
天に眼,jp,
天に三日の晴れなし,jp,
天にも昇る心地,jp,
天王山,jp,
天の時は地の利に如かず,jp,
天の時は地の利に如かず、地の利は人の和に如かず,jp,
天の配剤,jp,
天の美禄,jp,
天は二物を与えず,jp,
天は人の上に人を造らず、人の下に人を造らず,jp,
天は自ら助くる者を助く,jp,
天は見通し,jp,
天馬空を行く,jp,
天秤に掛ける,jp,
天網恢恢疎にして漏らさず,jp,
天網恢々疎にして漏らさず,jp,
天を仰いで唾す,jp,
天を仰いで唾する,jp,
点を打つ,jp,
天を怨みず人を尤めず,jp,
天を衝く,jp,
天を摩する,jp,
テープを切る,jp,
帷幄の臣,jp,
威あって猛からず,jp,
威ありて猛からず,jp,
いい後は悪い,jp,
言い得て妙,jp,
いい顔をしない,jp,
いい鴨,jp,
言い掛かりを付ける,jp,
言い勝ち功名,jp,
いい気なものだ,jp,
いい気になる,jp,
異域の鬼となる,jp,
いい気味,jp,
いい薬になる,jp,
いい子になる,jp,
好い線を行く,jp,
言いたいことは明日言え,jp,
意到りて筆随う,jp,
言い出しこき出し笑い出し,jp,
いい面の皮,jp,
いい年をして,jp,
いい仲になる,jp,
いい迷惑だ,jp,
いい目が出る,jp,
いい目を見る,jp,
いいようにする,jp,
言う口の下から,jp,
言うことなし,jp,
言うた損より言わぬ損が少ない,jp,
言うだけ野暮,jp,
言うと行うとは別問題である,jp,
言うなれば,jp,
言うに言われぬ,jp,
言うに及ばず,jp,
言うに事欠いて,jp,
言うは易く行うは難し,jp,
言うも愚か,jp,
家柄より芋茎,jp,
家に杖つく,jp,
家に杖つく頃,jp,
家に女房なきは火のない炉のごとし,jp,
家に鼠、国に盗人,jp,
家貧しくして孝子顕る,jp,
家貧しくして良妻を思う,jp,
家を傾ける,jp,
家を外にする,jp,
家を道端に作れば三年成らず,jp,
烏賊の甲より年の劫,jp,
烏賊の甲より年の功,jp,
如何物食い,jp,
怒り心頭に発する,jp,
怒りは敵と思え,jp,
怒りを遷さず,jp,
怒りを買う,jp,
怒れる拳、笑顔に当たらず,jp,
如何せん,jp,
遺憾なく,jp,
毬栗も内から割れる,jp,
鋳型に入れたよう,jp,
鋳型に嵌めたよう,jp,
鋳型に嵌める,jp,
行き当たりばったり,jp,
生き馬の目を抜く,jp,
息が合う,jp,
意気が揚がる,jp,
息が掛かる,jp,
息が通う,jp,
息が切れる,jp,
行き掛けの駄賃,jp,
息が続く,jp,
息が詰まる,jp,
息が長い,jp,
生き肝を抜く,jp,
生き胆を抜く,jp,
息切れがする,jp,
息急き切る,jp,
生きた心地もしない,jp,
生きた空もない,jp,
生き血をしぼる,jp,
生き血を吸う,jp,
生きている犬は死んだライオンに勝る,jp,
意気天を衝く,jp,
意気投合する,jp,
生きとし生けるもの,jp,
意気に感じる,jp,
意気に燃える,jp,
息の臭きは主知らず,jp,
息の根を止める,jp,
生き恥を曝す,jp,
生き恥を晒す,jp,
生き身は死に身,jp,
委曲を尽くす,jp,
生きるべきか死すべきかそれが問題だ,jp,
息を凝らす,jp,
息を殺す,jp,
息を吐く,jp,
息を継ぐ,jp,
息を詰める,jp,
息を抜く,jp,
息を呑む,jp,
息を吞む,jp,
息を弾ませる,jp,
息を引き取る,jp,
息を潜める,jp,
息を吹き返す,jp,
衣錦の栄,jp,
イギリス人の家はその人の城,jp,
威儀を正す,jp,
行く行くの長居り,jp,
戦を見て矢を矧ぐ,jp,
軍を見て矢を矧ぐ,jp,
意気地がない,jp,
生簀の鯉,jp,
生け簀の鯉,jp,
生ける屍,jp,
意見と餅はつくほど練れる,jp,
韋弦の佩,jp,
委細構わず,jp,
異彩を放つ,jp,
諍い果てての乳切り木,jp,
諍い果てての千切り木,jp,
諍いをしいしい腹を大きくし,jp,
潔しとしない,jp,
潔しとせず,jp,
いざ鎌倉,jp,
いざ知らず,jp,
いざという時,jp,
石臼を箸に刺す,jp,
石が流れて木の葉が沈む,jp,
石地蔵に蜂,jp,
礎を築く,jp,
石に齧りついても,jp,
石に嚙り付いても,jp,
石に裃,jp,
石に灸,jp,
石に漱ぎ、流れに枕す,jp,
石に立つ矢,jp,
石に花咲く,jp,
石に布団は着せられず,jp,
石に枕し流れに漱ぐ,jp,
意志のある所には道がある,jp,
石の上にも三年,jp,
石の物言う世の中,jp,
石橋を叩いて渡る,jp,
石部金吉鉄兜,jp,
医者が取るか坊主が取るか,jp,
医者寒からず儒者寒し,jp,
医者上手にかかり下手,jp,
医者と味噌は古いほどよい,jp,
医者の薬も匙加減,jp,
医者の自脈効き目なし,jp,
医者の只今,jp,
医者の不養生,jp,
医者よ自らを癒せ,jp,
衣食足りて栄辱を知る,jp,
衣食足りて礼節を知る,jp,
衣食足れば則ち栄辱を知る,jp,
石を抱きて淵に入る,jp,
意地が汚い,jp,
意地でも,jp,
意地になる,jp,
意地張るより頬張れ,jp,
意地を通す,jp,
意地を張る,jp,
交喙の嘴,jp,
鶍の嘴,jp,
居住まいを正す,jp,
いずれ菖蒲か杜若,jp,
何れを見ても山家育ち,jp,
伊勢へ七度、熊野へ三度,jp,
居候、三杯目にはそっと出し,jp,
居候の三杯目,jp,
急がば回れ,jp,
急ぎの文は静かに書け,jp,
磯際で船を破る,jp,
急ぐな休むな,jp,
磯の鮑の片思い,jp,
痛い上の針,jp,
痛い所をつく,jp,
痛いのは辛抱しても痒いのは辛抱できぬ,jp,
痛い目に遭う,jp,
痛い目に合う,jp,
痛くも痒くもない,jp,
痛くもない腹を探られる,jp,
板子一枚下は地獄,jp,
痛し痒し,jp,
戴く物は夏も小袖,jp,
頂く物は夏も小袖,jp,
鼬ごっこ,jp,
鼬なき間の貂誇り,jp,
鼬の最後っ屁,jp,
鼬の道切り,jp,
板に付く,jp,
板挟みになる,jp,
